density,risk_type,lambda,alpha,n_valid,n_failed,speedup_mean,speedup_std,node_red_mean,node_red_std,opt_ratio_mean,opt_ratio_std
0.1,hotspot,0.5,0.15,30,0,0.9255553478895828,0.0723961450650765,0.0,0.0,1.0,0.0
0.1,hotspot,0.5,0.2,30,0,0.8785552885663476,0.05704539391881149,0.0,0.0,1.0,0.0
0.1,hotspot,0.5,0.25,30,0,0.8430974751512477,0.1293036683014166,0.0,0.0,1.0,0.0
0.1,hotspot,0.5,0.3,30,0,0.8608873735810595,0.13760087447827635,0.0,0.0,1.0,0.0
0.1,hotspot,1.0,0.01,30,0,9.6773812975448,18.665922655950844,74.58671796143842,12.43119941301637,1.0151818477717944,0.015351736120079567
0.1,hotspot,1.0,0.02,30,0,5.0417382977935326,8.444152625987108,59.549621865087246,19.31434756198775,1.0108219961994187,0.015576607747663703
0.1,hotspot,1.0,0.03,30,0,3.1823159422191933,4.507369218834323,38.09287859861537,24.785493489356586,1.0060680564823061,0.012587590141180584
0.1,hotspot,1.0,0.05,30,0,2.143121902974476,2.665736500580311,20.0802371585091,20.949355096715088,1.0032270553685085,0.008508221253062269
0.1,hotspot,1.0,0.07,30,0,1.871972825999555,2.1357080849737304,13.36204074892498,18.011034105466052,1.0015911990118738,0.004420068218237245
0.1,hotspot,1.0,0.1,30,0,1.5342569760787206,1.3312462899807764,4.476226893003247,9.940680867953043,1.0000805073403245,0.0003064660022097201
0.1,hotspot,1.0,0.15,30,0,1.3932774684549452,0.8683995748273147,0.5160100045480405,2.0984162877164247,1.0,0.0
0.1,hotspot,1.0,0.2,30,0,1.4260117706968176,0.7795111775835257,0.0,0.0,1.0,0.0
0.1,hotspot,1.0,0.25,30,0,1.366588373501179,0.7144305392119021,0.0,0.0,1.0,0.0
0.1,hotspot,1.0,0.3,30,0,1.3538816019704503,0.7241060036181862,0.0,0.0,1.0,0.0
0.2,gradient,0.5,0.01,30,0,19.392852468270398,9.360911441259411,93.00332454495917,2.9253050124577036,1.0057324147432511,0.0053898078214052415
0.2,gradient,0.5,0.02,30,0,15.14496464510864,0.8991136425568135,92.4820571067651,0.23401667744703591,1.0027488923348553,0.0033462242353941474
0.2,gradient,0.5,0.03,30,0,7.2441842435012145,1.6606999719538558,85.94807863089694,0.3576970550296547,1.000325851485377,0.0009784050556612045
0.2,gradient,0.5,0.05,30,0,4.226370000359127,0.5513130001774484,76.47049934352623,0.5374581196222131,1.0,0.0
0.2,gradient,0.5,0.07,30,0,3.189179926874552,0.40465260161389766,70.30923560097284,0.6365589432513236,1.0,0.0
0.2,gradient,0.5,0.1,30,0,2.199763857814524,0.19080193653652067,55.713890418951635,0.8055598352926224,1.0,0.0
0.2,gradient,0.5,0.15,30,0,1.517162180250444,0.17805302418986213,37.48029639169752,0.9983422989701505,1.0,0.0
